major_id,middle_id,relationship
major_0001,middle_0001,HAS_MIDDLE
major_0001,middle_0002,HAS_MIDDLE
major_0001,middle_0003,HAS_MIDDLE
major_0001,middle_0004,HAS_MIDDLE
major_0001,middle_0005,HAS_MIDDLE
major_0001,middle_0006,HAS_MIDDLE
major_0001,middle_0007,HAS_MIDDLE
major_0002,middle_0008,HAS_MIDDLE
major_0002,middle_0009,HAS_MIDDLE
major_0002,middle_0010,HAS_MIDDLE
major_0002,middle_0011,HAS_MIDDLE
major_0002,middle_0012,HAS_MIDDLE
major_0002,middle_0013,HAS_MIDDLE
major_0003,middle_0014,HAS_MIDDLE
major_0003,middle_0015,HAS_MIDDLE
major_0003,middle_0016,HAS_MIDDLE
major_0003,middle_0017,HAS_MIDDLE
major_0003,middle_0018,HAS_MIDDLE
major_0003,middle_0019,HAS_MIDDLE
major_0003,middle_0020,HAS_MIDDLE
major_0004,middle_0021,HAS_MIDDLE
major_0004,middle_0022,HAS_MIDDLE
major_0004,middle_0023,HAS_MIDDLE
major_0004,middle_0024,HAS_MIDDLE
major_0004,middle_0025,HAS_MIDDLE
major_0004,middle_0026,HAS_MIDDLE
